name,address,addr:city,addr:postcode,cuisine,lat,lon,county
Nenas,West Mulberry Street,Angleton,77515,mexican,29.1635579,-95.439008,Brazoria
Hunt Brothers Pizza,,,,pizza,29.2279313,-95.3442457,Brazoria
Domino's,East Mulberry,Angleton,77515,pizza,29.172544,-95.415819,Brazoria
Rock's Donuts,,,,donut,29.172432,-95.4158862,Brazoria
Mi Tierra,,,,mexican,29.1820793,-95.4104418,Brazoria
Smoothie King,,,,juice,29.0490607,-95.4653332,Brazoria
Jimmy John's,,Lake Jackson,77566,sandwich,29.0492205,-95.4653682,Brazoria
Wendy's,Morris Avenue,Manvel,77578,burger,29.4666781,-95.3567099,Brazoria
Domino's,Highway 6,Rosharon,77583,pizza,29.4950431,-95.4388907,Brazoria
Burger King,Highway 6,Rosharon,77583,burger,29.497157,-95.4394169,Brazoria
Wingstop,West Broadway Street,Pearland,77584,wings,29.5545593,-95.4152166,Brazoria
Arby's,Broadway Street,Pearland,77581,sandwich,29.5437959,-95.2233031,Brazoria
Jack in the Box,Main Street,Pearland,77581,burger,29.547218,-95.278161,Brazoria
Wendy's,Pearland Parkway,Pearland,77581,burger,29.57631,-95.2658442,Brazoria
Wingstop,Pearland Parkway,Pearland,77581,wings,29.5578635,-95.2602768,Brazoria
Panera Bread,Pearland Parkway,Pearland,77581,sandwich;bakery,29.5583771,-95.2614638,Brazoria
Chipotle,Pearland Parkway,Pearland,77581,mexican,29.5581623,-95.2617459,Brazoria
MOD Pizza,Pearland Parkway,Pearland,77581,pizza,29.5581811,-95.2622464,Brazoria
Popeyes,Broadway Street,Pearland,77581,chicken,29.561391,-95.276972,Brazoria
Burger King,East Broadway,Pearland,77581-4306,burger,29.5626513,-95.2778493,Brazoria
DQ Grill & Chill,East Broadway,Pearland,77581-4202,ice_cream;burger,29.563439,-95.282362,Brazoria
Domino's,North Main Street,Pearland,77581,pizza,29.5733256,-95.2834973,Brazoria
Wendy's,North Main,Pearland,77581,burger,29.5755878,-95.2867399,Brazoria
Domino's,West Broadway Street,Pearland,77581,pizza,29.5591166,-95.3094239,Brazoria
DQ Grill & Chill,Broadway Street,Pearland,77581-7760,ice_cream;burger,29.5597361,-95.3448262,Brazoria
Burger King,Broadway Street,Pearland,77581-7763,burger,29.558705,-95.3472588,Brazoria
Wingstop,Broadway Street,Pearland,77581,wings,29.5604531,-95.3498692,Brazoria
Domino's,West Broadway Street,Pearland,77584,pizza,29.5568738,-95.37196,Brazoria
MOD Pizza,Business Center Drive,Pearland,77584,pizza,29.5575684,-95.3922888,Brazoria
Jimmy John's,West Broadway Street,Pearland,77584,sandwich,29.5553363,-95.3832515,Brazoria
McDonald's,West Broadway Street,Pearland,77584,burger,29.558102,-95.382598,Brazoria
Panda Express,South Freeway,Pearland,77584,chinese,29.5685887,-95.3877999,Brazoria
Jack in the Box,South Freeway,Pearland,77584,burger,29.569,-95.387792,Brazoria
Arby's,Shadow Creek Parkway,Pearland,77584,sandwich,29.5801959,-95.3938622,Brazoria
Wendy's,Shadow Creek Parkway,Pearland,77584,burger,29.5800899,-95.3966548,Brazoria
Domino's,Shadow Creek Parkway,Pearland,77584,pizza,29.5765788,-95.4056616,Brazoria
Popeyes,Shadow Creek Parkway,Pearland,77584,chicken,29.577847,-95.419022,Brazoria
McDonald's,FM 1462,,77511-4053,burger,29.4008345,-95.2464515,Brazoria
